date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:00:44	107182/107182	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2019:00:44%20GMT	https://www.secure.instagram.com/accounts/login/?hl=ms	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/accounts/login/index7c40.html	(from https://www.secure.instagram.com/accounts/login/)
21:00:47	248412/248412	---M-Z	200	added ('OK')	text/javascript	etag:%22bb93aebec6df%22	https://www.secure.instagram.com/static/bundles/metro/en_US.js/bb93aebec6df.js	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/static/bundles/metro/en_US.js/bb93aebec6df.js	(from https://www.secure.instagram.com/accounts/login/?hl=en)
21:00:48	107146/107146	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2019:00:44%20GMT	https://www.secure.instagram.com/accounts/login/?hl=nb	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/accounts/login/index4017.html	(from https://www.secure.instagram.com/accounts/login/)
21:00:48	107126/107126	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2019:00:44%20GMT	https://www.secure.instagram.com/accounts/login/?hl=nl	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/accounts/login/index5a9d.html	(from https://www.secure.instagram.com/accounts/login/)
21:00:51	107219/107219	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2019:00:48%20GMT	https://www.secure.instagram.com/accounts/login/?hl=pl	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/accounts/login/indexb2db.html	(from https://www.secure.instagram.com/accounts/login/)
21:00:51	107291/107291	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2019:00:48%20GMT	https://www.secure.instagram.com/accounts/login/?hl=ru	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/accounts/login/index9201.html	(from https://www.secure.instagram.com/accounts/login/)
21:00:51	107195/107195	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2019:00:49%20GMT	https://www.secure.instagram.com/accounts/login/?hl=sk	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/accounts/login/index1672.html	(from https://www.secure.instagram.com/accounts/login/)
21:00:51	2523633/2523633	---M-Z	200	added ('OK')	image/gif	etag:%22da4ad644f34a%22	https://www.secure.instagram.com/static/bundles/metro/shimmer-dark_da4ad644f34a.gif/da4ad644f34a.gif	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/static/bundles/metro/shimmer-dark_da4ad644f34a.gif/da4ad644f34a.gif	(from https://www.secure.instagram.com/static/bundles/metro/FeedPageContainer.css/b9fabb53bf36.css)
21:00:54	107167/107167	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2019:00:52%20GMT	https://www.secure.instagram.com/accounts/login/?hl=sv	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/accounts/login/index5083.html	(from https://www.secure.instagram.com/accounts/login/)
21:00:54	107419/107419	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2019:00:52%20GMT	https://www.secure.instagram.com/accounts/login/?hl=th	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/accounts/login/index7a92.html	(from https://www.secure.instagram.com/accounts/login/)
